Name,Thickness,Camber
2032c,0.079968,0.069969
a18,0.073534,0.038421
a18sm,0.072835,0.038423
a63a108c,0.077378,0.003657
ah21,0.07002,0.017612
ah6407,0.068608,0.055489
ah7476,0.059579,0.062095
ah79100a,0.1,0.036435
ah79100b,0.100375,0.064103
ah79100c,0.099441,0.066809
ames01,0.102883,0.014299
ames02,0.077378,0.003658
ames03,0.100002,0.012315
amsoil1,0.116276,0.020915
amsoil2,0.117662,0.009775
aquilasm,0.093845,0.039875
arad10,0.100035,0.039866
arad13,0.130001,0.035995
arad20,0.200174,0.037433
arad6,0.06025,0.050067
atr72sm,0.145262,0.028533
avistar,0.145214,0.022844
b29root,0.220659,0.018054
b29tip,0.09033,0.022696
b540ols,0.097086,0.000162
b707a,0.114347,-0.013925
b707b,0.122358,0.007058
b707c,0.097873,0.015627
b707d,0.089786,0.01824
b707e,0.090089,0.018051
b737a,0.15372,0.003595
b737b,0.125728,0.007622
b737c,0.100298,0.014505
b737d,0.107996,0.015857
bacj,0.100699,0.016624
bacxxx,0.113099,0.013604
be50,0.073043,0.040085
be50sm,0.073262,0.039532
boe103,0.127374,0.035759
boe106,0.130767,0.033417
bqm34,0.099002,8.2e-05
bw3,0.050231,0.056575
c141a,0.129911,0.010728
c141b,0.126436,0.011054
c141c,0.109876,0.01314
c141d,0.107637,0.015472
c141e,0.105096,0.017744
c141f,0.099967,0.022368
c5a,0.131221,0.00756
c5b,0.115499,0.012387
c5c,0.111035,0.014336
c5d,0.110541,0.013785
c5e,0.107811,0.014334
cast102,0.121899,0.015482
ch10sm,0.128434,0.101975
chen,0.124732,0.078595
clarkk,0.11699,0.032904
clarkv,0.116874,0.034056
clarkw,0.113142,0.037539
clarkx,0.116994,0.032993
clarky,0.117066,0.034997
clarkyh,0.119076,0.025176
clarkys,0.117047,0.023663
clarkysm,0.117267,0.035278
clarkz,0.117499,0.040492
clarym15,0.150038,0.035743
clarym18,0.18008,0.03571
cr001sm,0.073331,0.040593
cr1,0.122091,0.047698
dae11,0.128291,0.066349
dae21,0.117848,0.06603
dae31,0.110606,0.067265
dae41,0.116864,0.030461
dae51,0.093824,0.040539
davis,0.112518,0.037199
davissm,0.058752,0.059073
dbln526,0.259896,0.039661
defcnd1,0.209141,0.046404
defcnd2,0.147494,0.038537
defcnd3,0.11485,0.021708
df101,0.110039,0.023238
df102,0.110048,0.02287
dfvlrr4,0.133847,0.020555
dh4009sm,0.08953,0.001916
doa5,0.162208,0.025524
dsma523a,0.109978,0.022712
dsma523b,0.109969,0.024412
du8608418,0.084559,0.011166
e1098,0.189878,0.037405
e1200,0.169661,0.034478
e1210,0.15854,0.052762
e1211,0.180282,0.044634
e1212,0.177295,0.032472
e1212mod,0.177611,0.032299
e1213,0.174073,0.020763
e1214,0.19849,0.021574
e1230,0.174576,0.036323
e1233,0.189364,0.043613
e168,0.12446,-0.0
e169,0.144042,1e-06
e171,0.122818,0.0
e174,0.089228,0.038272
e176,0.088313,0.032751
e178,0.086959,0.027766
e180,0.085915,0.022679
e182,0.084697,0.017022
e184,0.083277,0.011754
e186,0.102744,0.012816
e193,0.1023,0.035458
e193mod,0.11868,0.041433
e195,0.118315,0.031595
e197,0.134944,0.02788
e201,0.118872,0.030684
e203,0.136532,0.026555
e205,0.104787,0.029823
e207,0.120368,0.024886
e209,0.137228,0.019893
e210,0.13648,0.040231
e211,0.109641,0.025517
e212,0.105653,0.029168
e214,0.111077,0.040284
e216,0.104385,0.051611
e220,0.1148,0.024851
e221,0.093862,0.018574
e222,0.101793,0.02489
e224,0.10174,0.017657
e226,0.101937,0.009629
e228,0.100805,0.002699
e230,0.099645,-0.007848
e231,0.123413,0.024579
e266,0.173261,0.03156
e297,0.11388,-9.6e-05
e325,0.126459,0.017571
e326,0.128801,0.021916
e327,0.131209,0.026123
e328,0.133478,0.030445
e329,0.135538,0.035253
e330,0.110407,0.02191
e331,0.112852,0.026091
e332,0.115444,0.030501
e333,0.117706,0.035481
e334,0.119503,0.040214
e335,0.12592,0.023824
